Wallet_ID,Label
0xb3346b9e108a3cd4cbbd1bc612c8166ccb0e8365,0
0xf5339abd17f1da0656f6a073a76ade37be16c7d1,0
0xc15ea6c10fbb3f21601f8e814076638444599953,0
0x58a9df25fcd54b251d629d715be2cd12266ef939,0
0xdbcc4ede5a79254bee542d112d0956a5eec65ea2,1
0x2ba73c9f36a4915b5a2f519a028199db537b63b2,0
0xa536d2d056e3ffa9c365e4675a9e005e816347a3,0
0xe5464bdb8bf6b04d3fa2e0ca04fa329314c8af0d,0
0x2bdb3bfb1a483aa0ab4335811831c0d6e5fe087b,0
0x2954b25053996651900450c520df68d3178c6d4c,0
0xa7a7fb7f2e808b8fa0bfb1a102d969a5500e7dc0,0
0x139ddf605de7898649a62230504bc6d7bec711c8,0
0x7122c21b09ceb2b803bba74184a49363fdf900ba,0
0x07858d6aa194ea7e4c9b3a10c37202d521ef9551,0
0xc3e55bb9f375d625c26e15a3a5dd4f76d504b110,0
0x407b804e1bd4d680eb4b3bbdf2f0565986104194,0
0xd72c7368cd2f25934333af9fd42eadf43a3eec6e,0
0xd7eb07913c12ae05045de577f477cfcc75012ed3,0
0x28bc078dcb4e86fd7e18f3b0aa6ec2265b66b28c,1
0x82e5bb7af186ebd71be0302684da12c741baf922,0
0x97488812b381f97c83bca538f66417733f6af585,0
0x714471e7966d7b4624af821cbd7845b49ff9f6a8,0
0xd71ab3a8fbf397d02c60467738ddfeeb48a2676f,1
0x7787c3c90987d54021dc7de1229392fa4a060a25,0
0x9635c36836fef1b77502ee4381fb539e045473d0,0
0x65898c71e3e6e1edfbea10e1f48cb6878433c0cc,0
0xb07b552c01ca28b41edf96e3a172ab65adfe18e5,0
0x4c7cb9f8ea39f53d699b7dfd5769500e6925d98d,1
0x47a19490821dbd5851b062a018c17e12140090a8,0
0x71beb7da9905eb1d7dde060c70030f88e986a459,0
0xed55e50b1f408d73bf8295ef6d06eabbbabcd1d8,0
0x6747f55040972b5a94b60315a6f68bb3f71261d2,0
0x4142603baf3b34acea6e6edcaebdbab48bb856a0,0
0x5ba63b94787c54736bc1699a615e8fbef43a9b29,0
0x46024ff77fed7b3df0fc0df7575f75b14ec09dd5,1
0x997adf407dc4962bc5b365a83e7386f74e6b38f0,0
0x594d2837da4b5d7031d6de6c6648386522043b83,0
0x88e175116140a7b3d8f2fe6d55565b13c616b514,0
0x164fee71ade5472d35421d32cd5cde948e91ffac,0
0xf9b68ba580cb928086cd7c931c07db7f5d0a38f0,0
0x3d16225525b3114c3beb1aa2f9e4ecb047b8487e,0
0x5868d49c56fd2947d002ca199369434eab4a67e9,0
0x84ba1ec59704b45a2feadfd581a2acc76b0b84f0,0
0x98eaeabc37e456cc32eb4cab260c6fe05648884f,0
0xfe70a70ccd61dbe8fec8b1127bf0af0c2be13f1c,0
0x095b8bcb565529d7a93c15dfdaf17be8de10b093,1
0x81214b67f05f7179389c572117faca3b2c910b6b,0
0x7adf1be493a9a06c7ba9b08467df44006eacef24,0
0x6e17d455f32e6bf7167041062b108fb08a8b142f,0
0xfabf49f3e364cd4be61f2f16a4067f65f7a81490,0
0x08225ccfcbe2f167276ad8f69cfa80c1027a0e60,0
0x2e78831c41ec444ca94288092ee70bd2939c9946,0
0xa1e49f52360285f58305cde69273e4361a4c43d1,0
0x1fdd4079b1fae28a2ce19b9c89910b1a53f99884,0
0xbeeec6d89f705170e55cb83edf633d457e8a8bbb,0
0x5d5691ed3b82f63e3fd9289e28b6c582418b2de1,0
0x8865a1ace9425bb28b4228e85297699cf90f19b3,0
0x86f2b7f3339daf61d6ac4ee062aa9a699bed9666,0
0xdcbb08625912488c11b1958b8456414bb2efae8a,0
0xf4b9701e34d4ec52a7421a3a0535416110b66c8c,0
0x136b9a6fd25dbb4521fb48fd0d90d8767c6a95d8,0
0xaa511ad4f57a23d5f8b6efc70729d57f58d8dbe2,0
0x77e14b70285bb983701db33051bdcf316b4be60a,0
0x42389623797609771b311876c7e0f4e59eccf27e,0
0xcd10ae3c762093f0c1946f5b9e06a7626dae12d8,0
0x92acf2e7a0082f9653ab0eca2610b6187177af2e,0
0x4ecdad783f215212daa894dc7d6cebd8088cafa6,0
