,In_Degree,Out_Degree,Total_In,Flow_Ratio,Avg_Time_Diff,TrustRank,Degree_Centrality,Betweenness_Centrality,Is_In_Cycle
0xb3346b9e108a3cd4cbbd1bc612c8166ccb0e8365,0.10817438620351905,1.2142401464268875,0.12273561972162736,-0.0393203427503623,0.1266414629921194,-0.08137636527508234,0.572425649717219,0.6692996269098728,0.33407358148757066
0xf5339abd17f1da0656f6a073a76ade37be16c7d1,-0.29839434169745477,0.5748635225382626,-0.15705251873285034,0.09795992814950275,1.4804165987970117,-0.16299386573662825,-0.050263465369826205,-0.41194794466267814,0.33407358148757066
0xc15ea6c10fbb3f21601f8e814076638444599953,-0.16287143239713017,-0.7038897252389873,-0.1293285164796174,-0.17866942754921825,-0.39645930012847347,-0.09989897566285474,-0.4238769344220534,-0.5110796621332022,0.33407358148757066
0x58a9df25fcd54b251d629d715be2cd12266ef939,-0.29839434169745477,-0.38420141329467483,-0.18146558176005523,-0.25700018057845486,0.3386629340990451,-0.17324993604211025,-0.4238769344220534,-0.47462577595661337,0.33407358148757066
0xdbcc4ede5a79254bee542d112d0956a5eec65ea2,0.24369729550384364,-0.0645131013503624,0.18300108038844728,-0.19237360091975744,-1.0051278703443987,0.21618334407793957,0.19881218066499193,-0.0943437859831765,0.33407358148757066
0x2ba73c9f36a4915b5a2f519a028199db537b63b2,0.10817438620351905,0.5748635225382626,-0.15420400075606117,-0.0010085122956631045,-0.22834323490297195,-0.10717416684883332,0.32335000368240113,-0.303095279247183,0.33407358148757066
0xa536d2d056e3ffa9c365e4675a9e005e816347a3,-0.16287143239713017,-0.0645131013503624,-0.23204077906315743,0.040650182182750676,-0.7951854766476482,-0.10072790003209255,-0.17480128838723527,-0.2745922313962355,0.33407358148757066
0xe5464bdb8bf6b04d3fa2e0ca04fa329314c8af0d,-0.027348523096805563,-0.38420141329467483,-0.14586292738219048,-0.07952038191448875,-0.49864328935474567,-0.08715792613272162,-0.17480128838723527,-0.4941807702886936,-2.9933525289463985
0x2bdb3bfb1a483aa0ab4335811831c0d6e5fe087b,-0.569440160298104,-1.0235780371832999,-0.432937202326669,0.9594788686120299,0.44741023308128625,-0.2257145297743889,-0.9220282264916896,-0.5340670969518029,-2.9933525289463985
0x2954b25053996651900450c520df68d3178c6d4c,0.10817438620351905,-0.38420141329467483,-0.09698250779188752,-0.175784432901959,1.3585812346229391,0.002604053493904811,-0.050263465369826205,-0.4072833430990899,0.33407358148757066
0xa7a7fb7f2e808b8fa0bfb1a102d969a5500e7dc0,-0.027348523096805563,0.5748635225382626,-0.0807144416121206,-0.054415102007907556,-0.5886214568146306,-0.10199791333958705,0.19881218066499193,-0.02148538293257098,0.33407358148757066
0x139ddf605de7898649a62230504bc6d7bec711c8,-0.16287143239713017,-0.7038897252389873,-0.14954985240824828,-0.1477412420155821,-1.0181587545610602,-0.16706527593389103,-0.4238769344220534,-0.4340131331955245,0.33407358148757066
0x7122c21b09ceb2b803bba74184a49363fdf900ba,0.10817438620351905,0.894551834482575,-0.162589804579948,0.1890262817510743,0.09371347160139969,-0.059313124748909436,0.44788782669981003,0.13862333030452967,0.33407358148757066
0x07858d6aa194ea7e4c9b3a10c37202d521ef9551,-0.569440160298104,-1.0235780371832999,-0.4192847574405402,0.5316998273734715,0.46682295202783625,-0.176797567394752,-0.9220282264916896,-0.5847555144663462,0.33407358148757066
0xc3e55bb9f375d625c26e15a3a5dd4f76d504b110,-0.569440160298104,-1.0235780371832999,-0.31030468169322334,-0.20060825349106165,2.256179592353548,0.22728579778567917,-0.9220282264916896,-0.44059058709904664,0.33407358148757066
0x407b804e1bd4d680eb4b3bbdf2f0565986104194,0.6502660234048174,0.2551752105939501,0.6478805924613714,-0.21674110666140006,-0.4200388367179171,0.10625076051952688,0.6969634727346281,0.1961619326522747,0.33407358148757066
0xd72c7368cd2f25934333af9fd42eadf43a3eec6e,-0.16287143239713017,-0.38420141329467483,0.08095823731798303,-0.16635011391616925,0.019003338480787602,-0.0714945796997137,-0.2993391114046443,-0.03439800274660578,0.33407358148757066
0xd7eb07913c12ae05045de577f477cfcc75012ed3,0.24369729550384364,-0.7038897252389873,0.02291296381853156,-0.2054666911658516,-0.3808240160577191,-0.023852004665126596,-0.050263465369826205,0.021126767843013382,0.33407358148757066
